"die number",discard_thickness,ram_speed,billet_length,billet_temperature,billet_taper_heating,billet_size,die_temperature,die_heating_time,stretch_ratio,value_l,value_m,value_n,nbn
CM20AH-V01D,25,3,600,470,100,9,480,5,0.6,1.5,21,20,1B1
MSQ70B2-V01D,35,5,1200,480,100,14,480,5,0.6,1.5,14,15,1B1
MSQA0B2-V01D,35,6,1200,480,100,14,480,5,0.6,1.5,10,11,1B1
MYM50H3-V01D,35,8,1200,480,100,14,480,5,0.6,1.5,1,2,2B1
MGPL25B2-V02D,25,4,1200,470,100,9,480,5,0.6,1.5,6,7,2B1
VJ10M-V01D,50,3.2,600,480,50,9,480,5,0.6,1.2,22,21,1B1
MYBA0H-V01D,35,4.3,1200,480,100,14,480,5,0.6,1.5,12,13,4B1
MYB50H1-V01D,35,4.2,1200,480,100,14,480,5,0.6,1.5,5,6,3B1
MYB63H1-V01D,35,3.6,1200,480,100,14,480,6,0.6,1.5,2,3,4B1
MYB80H-V01D,35,8,1200,480,100,14,480,5,0.6,1.5,4,5,3B1
MYB63H1-V01D,35,5,1200,480,100,14,480,5,0.6,1.5,2,3,4B1
MYB63H1-V01D,35,5,1200,480,100,14,480,6,0.6,1.5,2,3,4B1
MYB80H-V01D,35,8,1200,480,100,14,480,5,0.6,3,17,18,3B1
MYB63H1-V01D,35,6,1200,480,100,14,480,5,0.6,3,3,4,2B1
MYB50H1-V01D,35,5,1200,480,100,14,480,5,0.6,3,18,19,3B1
MYBA0H-V01D,35,8,1200,480,100,14,480,5,0.6,3,7,8,2B1
MYB50H1-V01D,35,5,1200,480,100,14,480,5,0.6,1.5,18,19,3B1
MYB63H1-V01D,35,6,1200,480,100,14,480,5,0.6,1.5,3,4,2B1
MYB80H-V01D,35,8,1200,480,100,14,480,5,0.6,1.5,17,18,3B1
MYBA0H-V01D,35,8,1200,480,100,14,480,5,0.6,1.5,7,8,2B1
MHZ10B-V01B,40,1.7,600,480,100,9,480,5,0.6,1.5,16,17,1B2
CG63H3-V01D,25,6,1200,480,100,9,480,5,0.5,1.5,6,7,3B1
MYB16H-V03D,35,5.8,1200,480,50,9,480,5,0.6,1.5,19,20,1B1
MYB20H1-V03D,35,6.2,1200,500,100,9,500,5,0.6,1.5,19,20,1B1
CP9650T-V01B,25,3,600,480,100,9,480,5,0.6,1.5,6,7,1B1
MGPM25B2-V01D,35,4,1200,470,100,9,480,5,0.6,1.5,6,7,2B1
CG63R3-V02D,50,6,1200,480,50,9,480,5,0.8,1.5,6,7,3B1
CG63R3-V01D,25,6,1200,480,50,9,480,5,0.6,1.5,6,7,3B1
CXS10S3-V01D,25,1.5,600,480,50,9,480,5,0.6,2,12,13,1B2
CGA0R-V01D,35,6,1200,480,100,14,480,5,0.6,1.5,2,3,4B1
MHZ16B-V01B,50,3.5,600,480,100,9,480,5,0.6,1.5,17,18,1B1
CQ50R3-V01D,35,6,1200,480,100,14,480,5,0.6,1.5,14,15,1B1
MSQ30B2-V01D,35,4,1200,470,0,9,480,5,0.4,1.5,20,21,2B1
MSQ30B2-V01D,35,4,1200,470,0,9,480,5,0.4,1.5,20,21,2B1
CG40R3-V01D,25,6,1200,460,50,9,480,5,0.5,1.5,8,9,1B1
CQS16T2-V01D,25,3,600,480,50,9,480,5,0.6,1.5,21,22,1B1
CG40R3-V01D,25,5,1200,460,50,9,480,5,0.5,1.5,8,9,1B1
CU32B3-V01D,50,6,1200,490,100,9,480,5,0.6,1.5,12,13,1B1
CG50R3-V01D,25,5,1200,450,0,9,480,5,0.6,1.5,11,12,2B1
CG50H3-V01D,25,7,1200,480,50,9,480,5,0.5,1.5,9,10,2B1
CQ80K-V01D,80,6,1200,480,100,14,480,5,0.6,1.5,7,8,2B1
CQA0K-V01D,35,6,1200,480,100,14,480,5,0.6,1.5,3,4,3B1
CRQ10B-V01C,50,2.5,600,480,50,9,480,5,0.6,1.5,18,19,1B1
CG32H3-V01D,50,4,1200,490,50,9,480,5,0.6,1.5,6,7,1B1
M1B40T-V01D,25,1,600,480,100,9,480,5,0.6,1.5,9,10,1B1
CRQ10B-V02C,50,2,600,480,0,9,480,5,0.6,1.5,18,19,1B1
CG20H2-V02D,50,2.2,600,480,100,9,480,5,0.3,1.5,11,12,1B1
CRQ30B-V01D,35,3.4,1200,490,50,9,500,5,0.6,1.5,13,14,1B1
PSA0B-V01D,35,6,1200,480,100,14,480,5,1.2,1.5,4,5,3B1
VJ30M1-V02D,25,1,600,490,0,9,480,5,0.6,1.5,15,15,1B1
PSA0-V01D,35,6,1200,480,100,14,480,5,0.6,1.5,3,4,3B1
PS80B-V01D,35,5,1200,480,100,14,480,5,0.6,1.5,9,10,2B1
CG25H2-V01D,25,2.8,600,480,100,9,480,5,0.3,2,8,9,1B1
CG25H2-V02D,25,2.8,600,480,100,9,480,5,0.4,2,8,9,1B1
CG20H2-V01D,50,2.2,600,480,100,9,480,5,0.2,1.5,11,12,1B1
CG40H3-V01D,25,3,1200,490,100,9,480,5,0.6,1.5,9,10,1B1
PS80-V01D,35,5,1200,480,100,14,480,5,0.6,1.5,8,9,2B1
SY70M-V02B,35,9,1200,490,100,9,500,5,0.6,1.5,18,19,2B1
XLA40BN-V01D,35,6,1200,480,100,14,480,5,0.6,1.5,11,12,1B1
XLA50BN-V01D,35,6,1200,480,100,14,480,5,0.6,1.5,6,7,2B1
CQ32T-V01B,55,4.2,1200,470,100,9,480,5,0.6,1.5,15,16,1B1
CQ50T3-V01B,25,5,1200,480,100,9,480,5,0.6,1.5,13,14,1B1
CQ32T-V02B,50,4.2,1200,470,100,9,480,5,0.6,1.5,15,16,1B1
CQ32T3-V01B,25,4.5,600,480,100,9,500,5,0.6,1.5,10,11,1B1
CQ32T3-V01B,25,4.5,600,480,100,9,500,5,0.6,1.5,10,11,1B1
CQ32T3-V01B,25,4.5,600,480,100,9,500,5,0.6,1.5,10,11,1B1
MGPM20B2-V01D,25,4,1200,470,100,9,480,5,0.6,1.5,8,9,1B1
NCA150H-V01D,35,6,1200,480,0,9,480,5,0.6,2,11,12,1B1
MGPM32B2-V01D,50,6,1200,470,100,9,480,5,0.6,1.5,3,4,3B1
MGPM32B2-V01D,50,6,1200,470,100,9,480,5,0.6,1.5,3,4,3B1
MGPM32B2-V01D,50,6,1200,470,100,9,480,5,0.6,1.5,3,4,3B1
CXS15S3-V01D,25,2,600,480,50,9,480,5,0.6,2,16,17,1B1
CQ40R-V01D,35,6,1200,480,100,14,480,5,0.6,1.5,21,22,1B1
NCA150H-V01D,35,6,1200,480,0,9,480,5,0.6,2,11,12,2B1
CG20H2-V02D,50,2.2,600,480,100,9,480,5,0.3,1.5,11,12,1B1
XGTP300L-V01D,35,8,1200,480,100,14,480,5,0.6,1.5,3,4,4B1
SY30MP-V02D,25,2,1200,500,0,9,500,5,0.6,1.5,13,14,1B1
SY30MP-V02D,25,2,1200,500,0,9,500,5,0.6,1.5,13,14,1B1
NCA200H-V01D,35,6,1200,480,0,12,500,5,0.6,1.5,8,9,1B1
NCA250H-V01D,35,6,1200,480,0,12,500,5,0.6,1.5,4,5,2B1
APT5-V01B,25,2.5,600,470,0,9,480,5,1.4,1.5,10,9,1B1
MSUB3B-V01D,35,5,1200,480,0,12,480,5,0.6,1.5,18,19,1B1
CKZ40C-V01D,35,6,1200,480,100,12,480,5,0.6,1.5,16,17,1B1
M1B32T-V01D,25,1,600,480,100,9,480,5,0.6,1.5,13,14,1B1
NCA200R-V01D,35,6,1200,480,0,9,500,5,0.6,1.5,4,5,1B1
NCA325R-V01D,35,6,1200,480,0,12,500,5,0.6,1.5,2,3,3B1
NCA400R-V01D,35,6,1200,480,0,12,500,5,0.6,1.5,1,2,4B1
CQ32G-V01C,25,2.5,1200,470,0,9,480,5,0.6,2,14,15,1B2
NCA325H-V01D,35,6,1200,480,0,12,500,5,0.6,1.5,2,3,2B1
APT5-V01B,25,2.5,600,470,0,12,480,5,1.4,1.5,10,9,1B1
NCA400H-V01D,35,6,1200,480,0,12,500,5,0.6,1.5,1,2,3B1
MYM20H2-V01D,35,5,1200,480,100,12,480,5,0.6,1.5,1,2,1B1
MHZJ20B-V01D,35,5,1200,480,0,12,480,5,0.6,1.5,16,17,1B1
MHF12B-V01D,25,3,600,480,50,9,480,5,0.6,1.5,21,22,1B1
MSQ20B2-V01D,35,5.5,1200,500,50,9,480,5,0.3,1.5,16,17,1B1
MHY25B-V02D,35,5.8,1200,480,100,9,480,5,0.6,1.5,13,14,1B1
SY30MP-V03D,25,2,1200,500,0,9,500,5,0.6,1.5,12,14,1B1
CQ32R3-V01D,50,6,1200,480,0,14,480,5,0.6,1.5,28,29,1B2
MXS16TB-V03D,55,3.5,600,480,0,9,480,5,0.6,1.5,18,19,1B1
MXS16TB-V03D,50,3.5,600,480,0,9,480,5,0.6,1.5,18,19,1B1
CP9680T-V01B,35,4,1200,480,100,12,480,5,0.6,3,11,12,1B2
CP96A0T-V01B,35,4,1200,480,100,12,480,5,0.6,1.5,13,14,1B1
MYB16H-V01D,35,5.8,1200,480,50,9,480,5,0.6,1.5,19,20,1B1
SY50M-V01B,35,7.3,1200,460,0,9,480,5,0.6,1.5,12,13,1B1
MHY20B-V01D,35,4.1,1200,480,100,9,480,5,0.6,1.5,19,20,1B1
XLA16B2-V02B,35,6.8,1200,470,100,9,500,5,0.6,1.5,11,10,1B1
MHY10B-V01D,25,1.7,600,480,50,9,480,5,0.6,1.5,13,14,1B2
VV10M1-V01B,25,3.5,1200,460,0,9,480,5,0.6,1.5,17,18,1B1
MXS16TB-V02D,50,3.5,600,480,0,9,480,5,0.6,1.5,18,19,1B1
RMMA90-V01D,25,7,1200,490,0,9,480,5,0.6,1.5,15,16,2B1
RMMA120-V01D,25,7,1200,490,50,9,480,5,0.6,1.5,15,16,2B1
MYB25P2-V01D,35,2.5,600,480,100,9,480,5,0.6,1.5,14,15,1B1
MHZ06B-V02D,50,2.5,600,480,50,9,480,5,0.6,1.5,11,12,1B2
RMMA90-V01D,25,7,1200,490,50,9,480,5,0.6,1.5,15,16,2B1
CYV32K-V01D,35,1,1200,480,100,9,480,5,0.6,1.5,18,19,2B1
XLA40B2-V01B,50,2,1200,500,0,14,500,5,0.6,1.5,1,1,2B1
CP96A2T-V01B,35,4,1200,480,100,14,480,5,0.6,1.5,17,18,1B1
MXS16TB-V01D,55,3.5,600,480,0,9,480,5,0.6,1.5,18,19,1B1
CQ20T2-V01D,25,5,600,480,100,9,480,5,0.6,1.5,12,13,1B1
CQ20T2-V01D,25,5,600,480,100,9,480,5,0.6,1.5,12,13,1B1
VJ30M3-V02D,25,4,600,480,100,9,480,5,0.6,1.5,11,12,1B1
VJ30M3-V02D,25,4,600,480,100,9,480,5,0.6,1.5,11,12,1B1
CXS32S3-V01D,25,4,1200,480,50,9,480,5,0.6,2,11,12,1B1
M1BA0T-V01B,35,4,1200,480,100,14,480,5,0.6,1.5,20,21,1B1
MSQ30B2-V03D,35,3.5,1200,480,0,9,480,5,0.4,1.5,20,21,2B1
MB32C-V02D,50,7,1200,500,0,9,480,5,0.6,1.5,20,21,2B1
CQ50T-V01B,35,4.1,1200,470,100,9,500,5,0.3,1.5,11,10,1B1
XLA16B2-V01B,35,8,1200,470,100,9,500,5,0.6,1.5,11,10,1B1
NCA250R-V01D,35,6,1200,480,0,12,500,5,0.6,1.5,4,5,2B1
NCA250R-V01D,35,6,1200,480,0,14,500,5,0.6,1.5,4,5,1B1
MB32C-V01D,50,7,1200,500,50,9,480,5,0.6,1.5,20,21,2B1
APT6-V01B,35,6,1200,500,0,9,480,5,0.3,1.5,13,14,1B1
APT6-V01B,35,6,1200,500,0,9,480,5,0.3,1.5,13,14,1B1
DXT199M1-V02D,50,5.5,1200,480,100,9,480,5,0.6,2,16,17,1B1
VP300M-V02D,25,4,1200,490,0,9,480,5,0.6,1.5,13,14,1B1
MSQ30B2-V03D,35,3.5,1200,480,0,9,480,5,0.4,1.5,20,21,2B1
CQ50T-V02B,35,4.1,1200,470,100,9,500,5,0.6,1.5,11,10,1B1
MB80C-V01D,35,8,1200,480,100,14,480,5,0.6,1.5,2,3,3B1
SY50M-V02B,35,7.3,1200,480,0,9,480,5,0.6,1.5,12,13,1B1
CQ50R-V01D,35,6,1200,480,100,14,480,5,0.6,1.5,12,13,1B1
CQ63R3-V01D,35,6,1200,480,100,14,480,5,0.6,1.5,10,11,2B1
XLA50B2-V01D,35,6,1200,480,100,14,480,5,0.6,1.5,6,7,2B1
XLA80B2-V01D,80,6,1200,480,100,14,480,5,0.6,1.5,1,2,4B1
XLA16BN-V01B,35,5.1,1200,480,100,9,500,5,0.6,1.5,15,15,1B1
DXT155M-V01D,25,4.5,1200,490,50,9,470,5,0.6,1.5,11,12,1B2
DXT192M1-V02D,25,3.9,600,450,50,9,490,5,0.6,1.5,15,16,1B1
CQ20K-V01D,25,2,600,480,50,9,480,5,0.6,1.5,16,17,1B1
MGJ06B-V02D,50,2.5,600,480,50,9,500,5,0.6,2,13,14,1B2
MGZ63H-V01D,35,6,1200,480,100,14,480,5,0.6,1.5,5,6,2B1
MGZ80H-V01D,35,8,1200,480,100,14,480,5,0.6,1.5,2,3,4B1
MGPM63B2-V01D,35,6,1200,480,100,14,480,5,0.6,1.5,5,6,2B1
MGPL63B2-V01D,35,6,1200,480,100,14,480,5,0.6,1.5,6,7,2B1
MB40C-V02D,50,7,1200,490,0,9,480,5,0.6,2,6,7,2B1
MSQ7B-V02D,25,4,600,480,100,9,500,5,0.6,2,9,10,1B1
CQ12T3L-V01B,25,3,600,480,50,9,480,5,0.6,1.5,13,14,1B2
AXT663M5-V01D,25,3,600,480,100,9,480,5,0.6,1.5,16,17,1B1
MXH16P-V02D,50,6,1200,480,100,9,480,5,0.6,1.5,8,9,2B1
P5053B2-V01D,25,8,1200,490,100,9,480,5,0.6,1.5,6,7,2B1
RHC32B-V02D,25,6,1200,480,100,9,480,5,0.6,1.5,14,15,1B1
CJP16B-V02D,50,3,600,480,100,9,480,5,0.6,2,6,7,1B2
AXT663M6-V02D,25,4,600,480,100,9,480,5,0.6,1.5,13,14,1B1
DXT192M1-V01D,25,3.9,600,460,0,9,490,5,0.6,1.5,15,16,1B1
MHL32B2-V01D,35,6,1200,480,100,14,480,5,0.6,1.5,14,15,1B1
MHL40B2-V01D,35,6,1200,480,100,14,480,5,0.6,1.5,10,11,1B1
CLK50R-V01D,35,5,1200,480,100,14,480,5,0.6,1.5,12,13,1B1
CLK63R-V01D,35,5,1200,480,100,14,480,5,0.6,1.5,8,9,2B1
MGPL50B2-V01D,35,6,1200,480,100,14,480,5,0.6,1.5,9,10,2B1
XLA40B2-V02B,50,5,1200,480,0,14,500,5,0.6,1.5,4,5,2B1
CRQ40B-V01D,55,5.7,1200,490,50,9,490,5,0.5,1.5,10,11,1B1
S070M2-V01B,25,1,600,480,100,9,480,5,0.6,1.5,13,14,1B1
MGPL32B2-V02D,25,4,1200,470,100,9,480,5,0.6,3,10,11,2B1
CJP10B-V02D,50,3,600,480,0,9,480,5,0.6,1.5,22,23,1B1
NCA150R-V01D,35,4,1200,480,0,9,480,5,0.6,1.5,13,14,2B1
AXT663M7-V01D,25,4,600,480,100,9,480,5,0.4,1.5,17,18,1B1
MB80TD-V01C,25,4,1200,480,100,9,480,5,0.9,1.5,1,1,1B1
XLA25B2-V01B,35,4,1200,500,50,9,480,5,0.6,1.5,6,6,2B1
MHKL12B-V02D,50,5,1200,500,50,9,480,5,0.6,1.5,21,22,1B1
MHL16B2-V02D,25,4.2,1200,480,100,9,480,5,0.6,1.5,16,16,1B1
MBA0C-V01D,35,6,1200,480,100,14,480,5,0.6,1.5,1,2,4B1
SY70MP-V01D,35,4,1200,480,100,14,480,5,0.6,1.5,15,16,1B1
MSQA0C-V01D,35,8,1200,480,100,14,480,5,0.6,1.5,7,8,2B1
CQ63R-V01D,35,6,1200,480,100,14,480,5,0.6,1.5,7,8,1B1
MSQB0C-V01D,35,8,1200,480,100,14,480,5,0.6,1.5,3,4,3B1
MHL10B2-V02D,50,4,1200,480,100,9,480,5,0.6,1.5,20,21,1B1
V100M4-V02D,25,4,1200,480,100,9,480,5,0.6,1.5,17,18,1B1
XLA63B2-V01D,35,6,1200,480,100,14,480,5,0.6,1.5,3,4,4B1
CQA0T3-V01C,35,4,1200,480,100,14,480,5,0.6,1.5,12,13,1B1
XGTP300BN-V01D,35,2,1200,490,0,9,480,5,0.6,1.5,15,16,1B1
CUJ16A-V02D,25,2.2,600,490,100,9,490,5,1.2,1.5,18,19,1B1
MB63TD-V01C,25,3.5,600,480,100,9,480,5,0.7,1.5,4,5,1B1
CXS25S3-V02D,25,4,1200,480,50,9,480,5,0.6,2,20,21,1B1
CRQ15B-V01C,25,2.3,600,490,50,9,480,5,0.8,1.5,14,15,1B1
MHZ06B-V01D,50,2.5,600,480,100,9,480,5,0.6,1.5,11,12,1B2
CXS32S3-V02D,25,4,1200,480,50,9,480,5,0.6,2,11,12,1B1
VV15M1-V01D,25,4.2,1200,480,100,9,480,5,0.6,1.5,16,16,1B1
VV15M1-V02D,25,4.2,1200,480,100,9,480,5,0.6,1.5,16,16,1B1
P5053B3-V01D,25,8,1200,490,100,9,480,5,0.6,1.5,5,6,3B1
VJ30M-V02D,25,4,600,480,100,9,480,5,0.6,1.5,15,16,1B1
M1B80T-V01D,35,4,1200,490,0,12,500,5,0.6,1.5,19,20,1B1
CQ80R3-V01D,35,8,1200,480,100,14,480,5,0.6,1.5,3,4,3B1
P5053B3-V02D,25,8,1200,490,100,9,480,5,0.6,1.5,5,6,3B1
P5053B2-V02D,25,7,1200,490,100,9,480,5,0.6,1.5,6,7,2B1
NCAA0TD-V01C,25,4,1200,480,100,9,500,5,0.6,2,4,5,1B1
CQ20K-V02D,25,2,600,480,50,9,480,5,0.6,1.5,16,17,1B1
VJ30M-V02D,25,4,600,480,100,9,480,5,0.6,1.5,15,16,1B1
NCAA0TD-V01C,25,4,1200,480,100,9,500,5,0.6,2,4,5,1B1
CUJ20A-V02D,25,3.1,600,490,100,9,480,5,1,1.5,15,15,1B1
V100M2-V02D,25,1.7,1200,500,0,9,480,5,0.6,1.5,10,11,1B2
CRQ15B-V02C,25,2.3,600,490,50,9,480,5,0.8,1.5,14,15,1B1
CXS06S3-V02D,25,1.5,600,480,50,9,480,5,0.6,2,11,12,1B2
CXS10S3-V02D,25,2.5,600,480,50,9,480,5,0.6,1.5,15,16,1B2
CXS20S3-V02D,50,2.5,600,480,50,9,480,5,0.6,1.5,11,12,1B1
CXS15S3-V02D,25,2,600,480,50,9,480,5,0.6,2,16,17,1B1
CG63H3-V02D,25,6,1200,480,100,9,500,5,0.6,1.5,2,3,3B1
MBA0TD-V01C,25,4,1200,480,100,9,500,5,0.6,1.5,4,5,1B1
CRQ20B-V01D,25,4.8,1200,480,50,9,480,5,0.6,1.5,15,16,1B1
CRQ20B-V02D,25,4.8,1200,480,50,9,480,5,0.6,1.5,15,16,1B1
CQ63T-V01C,35,6.6,1200,500,0,14,480,5,0.6,1.5,11,12,1B2
MYM63H2-V01D,35,8,1200,480,100,14,480,5,0.6,1.5,14,15,3B1
CQ80T-V01C,35,5,1200,480,100,14,480,5,0.6,1.5,14,15,1B1
CQ80T3-V01C,35,5,1200,480,100,14,480,5,0.6,1.5,17,18,1B1
CQA0T-V01C,35,5,1200,480,100,14,480,5,0.6,1.5,9,10,2B1
MGPM32B2-V02D,25,4,1200,470,100,9,480,5,0.6,1.5,3,4,3B1
SY50M3-V01D,50,4.5,1200,480,100,9,480,5,0.6,1.5,9,10,2B1
MGPL40B2-V02D,25,4,1200,470,100,9,480,5,0.6,3,13,14,3B1
CRQ20B-V03D,25,4.8,1200,480,100,9,480,5,0.6,1.5,15,16,1B1
CRQ40B-V02D,40,5.7,1200,490,100,9,490,5,0.5,1.5,10,11,1B1
M1B50T-V01D,25,1.5,1200,480,100,9,480,5,0.6,1.5,13,14,1B1
MGPM40B2-V02D,25,4,1200,490,50,9,480,5,0.6,1.5,3,4,3B1
CKQ50B2-V01D,35,6,1200,480,100,14,480,5,0.6,1.5,12,13,1B1
MGPM80B2-V01D,35,6,1200,480,100,14,480,5,0.6,1.5,4,5,3B1
MGPL80B2-V01D,35,6,1200,480,100,14,480,5,0.6,1.5,5,6,2B1
CA50T-V01C,25,4,600,480,100,9,480,5,0.9,1.5,9,10,1B1
CA63T-V01C,50,4,1200,480,100,9,480,5,0.9,1.5,14,15,1B1
CQ63T-V02C,50,6.6,1200,480,50,9,480,5,0.6,2,10,10,2B1
SY70M-V01B,35,9,1200,490,100,9,490,5,0.6,1.5,18,19,2B1
APT5-V01C,25,2.5,600,470,0,9,480,5,1.25,1.5,10,9,1B1
VV14M1-V01D,50,2.3,1200,500,0,9,500,5,0.6,1.5,22,23,1B1
V100M1-V02D,25,4,1200,480,100,9,480,5,0.6,1.5,22,23,1B1
MHF08B-V01D,25,1,600,480,50,9,480,5,0.6,1.5,11,12,1B2
P5053B1-V02D,25,7,1200,490,100,9,480,5,0.6,1.5,11,12,1B1
MB63C-V01D,35,6,1200,500,0,14,480,5,0.6,1.5,6,7,2B1
MB50C-V01D,35,6,1200,500,0,14,480,5,0.6,1.5,11,12,1B1
MGPM50B2-V01D,35,6,1200,480,100,14,480,5,0.6,1.5,7,8,2B1
CQ40T-V01B,35,4,1200,470,100,9,450,5,0.6,1.5,16,17,1B1
CXS06S3-V01D,25,2,600,480,50,9,480,5,0.3,2,11,12,1B2
VJ30M-V02D,25,4,600,480,100,9,480,5,0.6,1.5,15,16,1B1
MSQ30B2-V02D,35,4,1200,470,0,9,480,5,0.6,1.5,20,21,2B1
CQ32K-V01D,50,3,600,490,50,9,480,5,0.6,1.5,14,15,1B1
VJ30M3-V01D,25,4,600,480,100,9,480,5,0.6,1.5,11,12,1B1
CQ63T-V03C,50,6.6,1200,480,50,9,480,5,0.9,2,10,10,2B1
AXT663M5-V02D,25,3,600,480,100,9,480,5,0.6,1.5,16,17,1B1
AXT835M-V02D,50,4,1200,480,50,9,480,5,0.6,1.5,21,22,1B1
MTS12R-V01D,25,6,1200,480,100,9,480,5,0.6,2,22,23,1B1
MXW20B-V02D,50,6,1200,490,50,9,480,5,0.5,1.5,18,19,2B1
MTS16R-V01D,25,6,1200,480,100,9,480,5,0.6,2,15,16,1B1
P5053B1-V01D,25,7,1200,490,100,9,480,5,0.6,1.5,11,12,1B1
PS63-V02D,25,5,1200,500,0,9,480,5,0.5,1.5,17,18,3B1
CQ40K-V01D,50,3.5,1200,480,100,9,480,5,1.2,1.5,15,16,1B1
PS63-V03D,25,5,1200,480,100,9,480,5,0.6,1.5,17,18,3B1
MHZ40B-V01D,50,6,1200,480,100,9,480,5,0.6,1.5,20,21,1B1
XLA25B2-V02B,35,5,1200,500,50,9,480,5,0.6,1.5,6,6,2B1
MTS20R-V01D,50,6,1200,480,100,9,480,5,0.6,2,22,23,1B1
MTS20R-V01D,50,8,1200,480,100,9,480,5,0.6,1.5,22,23,1B1
